geneid,Symbol
ENSG00000072818,ACAP1
ENSG00000114331,ACAP2
ENSG00000229325,ACAP2-IT1
ENSG00000131584,ACAP3
ENSG00000075239,ACAT1
ENSG00000120437,ACAT2
ENSG00000182827,ACBD3
ENSG00000234478,ACBD3-AS1
ENSG00000181513,ACBD4
ENSG00000107897,ACBD5
ENSG00000230124,ACBD6
ENSG00000176244,ACBD7
ENSG00000110455,ACCS
ENSG00000205126,ACCSL
ENSG00000102977,ACD
ENSG00000159640,ACE
ENSG00000130234,ACE2
ENSG00000224353,ACE3P
ENSG00000167769,ACER1
ENSG00000177076,ACER2
ENSG00000078124,ACER3
ENSG00000087085,ACHE
ENSG00000100813,ACIN1
ENSG00000213088,ACKR1
ENSG00000144648,ACKR2
ENSG00000144476,ACKR3
ENSG00000129048,ACKR4
ENSG00000131473,ACLY
ENSG00000153086,ACMSD
ENSG00000122729,ACO1
ENSG00000100412,ACO2
ENSG00000102794,ACOD1
ENSG00000184227,ACOT1
ENSG00000119673,ACOT2
ENSG00000177465,ACOT4
ENSG00000205669,ACOT6
ENSG00000097021,ACOT7
ENSG00000101473,ACOT8
ENSG00000123130,ACOT9
ENSG00000161533,ACOX1
ENSG00000168306,ACOX2
ENSG00000087008,ACOX3
ENSG00000153093,ACOXL
ENSG00000204581,ACOXL-AS1
ENSG00000143727,ACP1
ENSG00000134575,ACP2
ENSG00000142513,ACP4
ENSG00000102575,ACP5
ENSG00000162836,ACP6
ENSG00000183760,ACP7
ENSG00000014257,ACPP
ENSG00000100312,ACR
ENSG00000111644,ACRBP
ENSG00000134940,ACRV1
ENSG00000103740,ACSBG1
ENSG00000130377,ACSBG2
ENSG00000167107,ACSF2
ENSG00000176715,ACSF3
ENSG00000151726,ACSL1
ENSG00000123983,ACSL3
ENSG00000068366,ACSL4
ENSG00000197142,ACSL5
ENSG00000164398,ACSL6
ENSG00000166743,ACSM1
ENSG00000183747,ACSM2A
ENSG00000066813,ACSM2B
ENSG00000005187,ACSM3
ENSG00000215009,ACSM4
ENSG00000183549,ACSM5
ENSG00000260762,ACSM5P1
ENSG00000173124,ACSM6
ENSG00000154930,ACSS1
ENSG00000131069,ACSS2
ENSG00000111058,ACSS3
ENSG00000143632,ACTA1
ENSG00000107796,ACTA2
ENSG00000180139,ACTA2-AS1
ENSG00000075624,ACTB
ENSG00000169067,ACTBL2
ENSG00000229145,ACTBP1
ENSG00000213763,ACTBP2
ENSG00000203413,ACTBP6
ENSG00000185607,ACTBP7
ENSG00000220267,ACTBP8
ENSG00000266920,ACTBP9
ENSG00000159251,ACTC1
ENSG00000184009,ACTG1
ENSG00000178631,ACTG1P1
ENSG00000229129,ACTG1P2
ENSG00000215388,ACTG1P3
ENSG00000236085,ACTG1P4
ENSG00000229349,ACTG1P9
ENSG00000163017,ACTG2
ENSG00000136518,ACTL6A
ENSG00000077080,ACTL6B
ENSG00000187003,ACTL7A
ENSG00000148156,ACTL7B
ENSG00000117148,ACTL8
ENSG00000181786,ACTL9
ENSG00000072110,ACTN1
ENSG00000259062,ACTN1-AS1
ENSG00000077522,ACTN2
ENSG00000248746,ACTN3
ENSG00000130402,ACTN4
ENSG00000213493,ACTN4P1
ENSG00000214141,ACTN4P2
ENSG00000229890,ACTP1
ENSG00000138107,ACTR1A
ENSG00000115073,ACTR1B
ENSG00000138071,ACTR2
ENSG00000115091,ACTR3
ENSG00000133627,ACTR3B
ENSG00000270242,ACTR3BP1
ENSG00000226481,ACTR3BP2
ENSG00000280263,ACTR3BP2
ENSG00000260327,ACTR3BP3
ENSG00000249283,ACTR3BP4
ENSG00000227264,ACTR3BP5
ENSG00000226444,ACTR3BP6
ENSG00000106526,ACTR3C
ENSG00000232267,ACTR3P2
ENSG00000242573,ACTR3P3
ENSG00000101442,ACTR5
ENSG00000075089,ACTR6
ENSG00000248915,ACTR6P1
ENSG00000113812,ACTR8
ENSG00000123165,ACTRT1
ENSG00000169717,ACTRT2
ENSG00000184378,ACTRT3
ENSG00000115170,ACVR1
ENSG00000135503,ACVR1B
ENSG00000123612,ACVR1C
ENSG00000121989,ACVR2A
ENSG00000114739,ACVR2B
ENSG00000229589,ACVR2B-AS1
ENSG00000139567,ACVRL1
ENSG00000243989,ACY1
ENSG00000132744,ACY3
ENSG00000119640,ACYP1
ENSG00000170634,ACYP2
ENSG00000196839,ADA
ENSG00000093072,ADA2
ENSG00000164113,ADAD1
ENSG00000267511,ADAD1P2
ENSG00000140955,ADAD2
ENSG00000168803,ADAL
ENSG00000229186,ADAM1A
ENSG00000226469,ADAM1B
ENSG00000104755,ADAM2
ENSG00000197475,ADAM3A
ENSG00000260089,ADAM3B
ENSG00000196115,ADAM5
ENSG00000271968,ADAM6
ENSG00000069206,ADAM7
ENSG00000151651,ADAM8
ENSG00000168615,ADAM9
ENSG00000134028,ADAMDEC1
ENSG00000154734,ADAMTS1
ENSG00000087116,ADAMTS2
ENSG00000156140,ADAMTS3
ENSG00000158859,ADAMTS4
ENSG00000154736,ADAMTS5
ENSG00000049192,ADAMTS6
ENSG00000136378,ADAMTS7
ENSG00000274376,ADAMTS7P1
ENSG00000261143,ADAMTS7P3
ENSG00000218052,ADAMTS7P4
ENSG00000134917,ADAMTS8
ENSG00000163638,ADAMTS9
ENSG00000241158,ADAMTS9-AS1
ENSG00000241684,ADAMTS9-AS2
ENSG00000178031,ADAMTSL1
ENSG00000197859,ADAMTSL2
ENSG00000156218,ADAMTSL3
ENSG00000143382,ADAMTSL4
ENSG00000203804,ADAMTSL4-AS1
ENSG00000185761,ADAMTSL5
ENSG00000105963,ADAP1
ENSG00000184060,ADAP2
ENSG00000160710,ADAR
ENSG00000197381,ADARB1
ENSG00000185736,ADARB2
ENSG00000205696,ADARB2-AS1
ENSG00000065457,ADAT1
ENSG00000189007,ADAT2
ENSG00000213638,ADAT3
ENSG00000063761,ADCK1
ENSG00000133597,ADCK2
ENSG00000173137,ADCK5
ENSG00000164742,ADCY1
ENSG00000078295,ADCY2
ENSG00000138031,ADCY3
ENSG00000129467,ADCY4
ENSG00000173175,ADCY5
ENSG00000174233,ADCY6
ENSG00000121281,ADCY7
ENSG00000155897,ADCY8
ENSG00000162104,ADCY9
ENSG00000141433,ADCYAP1
ENSG00000078549,ADCYAP1R1
ENSG00000087274,ADD1
ENSG00000075340,ADD2
ENSG00000148700,ADD3
ENSG00000203876,ADD3-AS1
ENSG00000118492,ADGB
ENSG00000197177,ADGRA1
ENSG00000256925,ADGRA1-AS1
ENSG00000020181,ADGRA2
ENSG00000152990,ADGRA3
ENSG00000181790,ADGRB1
ENSG00000121753,ADGRB2
ENSG00000135298,ADGRB3
ENSG00000111452,ADGRD1
ENSG00000256151,ADGRD1-AS1
ENSG00000180264,ADGRD2
ENSG00000174837,ADGRE1
ENSG00000127507,ADGRE2
ENSG00000131355,ADGRE3
ENSG00000268758,ADGRE4P
ENSG00000123146,ADGRE5
ENSG00000153292,ADGRF1
ENSG00000164393,ADGRF2
ENSG00000173567,ADGRF3
ENSG00000153294,ADGRF4
ENSG00000069122,ADGRF5
ENSG00000227582,ADGRF5P1
ENSG00000204818,ADGRF5P2
ENSG00000205336,ADGRG1
ENSG00000173698,ADGRG2
ENSG00000182885,ADGRG3
ENSG00000156920,ADGRG4
ENSG00000159618,ADGRG5
ENSG00000112414,ADGRG6
ENSG00000144820,ADGRG7
ENSG00000072071,ADGRL1
ENSG00000117114,ADGRL2
ENSG00000150471,ADGRL3
ENSG00000248692,ADGRL3-AS1
ENSG00000162618,ADGRL4
ENSG00000164199,ADGRV1
ENSG00000187758,ADH1A
ENSG00000196616,ADH1B
ENSG00000248144,ADH1C
ENSG00000198099,ADH4
ENSG00000197894,ADH5
ENSG00000232676,ADH5P2
ENSG00000223694,ADH5P3
ENSG00000233859,ADH5P4
ENSG00000172955,ADH6
ENSG00000196344,ADH7
ENSG00000147576,ADHFE1
ENSG00000182551,ADI1
ENSG00000235102,ADI1P1
ENSG00000250684,ADI1P2
ENSG00000258369,ADI1P3
ENSG00000182035,ADIG
ENSG00000181092,ADIPOQ
ENSG00000226482,ADIPOQ-AS1
ENSG00000159346,ADIPOR1
ENSG00000232497,ADIPOR1P1
ENSG00000258805,ADIPOR1P2
ENSG00000006831,ADIPOR2
ENSG00000148671,ADIRF
ENSG00000272734,ADIRF-AS1
ENSG00000156110,ADK
ENSG00000148926,ADM
ENSG00000128165,ADM2
ENSG00000224420,ADM5
ENSG00000101126,ADNP
ENSG00000101544,ADNP2
ENSG00000181915,ADO
ENSG00000163485,ADORA1
ENSG00000128271,ADORA2A
ENSG00000178803,ADORA2A-AS1
ENSG00000170425,ADORA2B
ENSG00000236136,ADORA2BP1
ENSG00000282608,ADORA3
ENSG00000159322,ADPGK
ENSG00000260898,ADPGK-AS1
ENSG00000144843,ADPRH
ENSG00000153531,ADPRHL1
ENSG00000116863,ADPRHL2
ENSG00000170222,ADPRM
ENSG00000120907,ADRA1A
ENSG00000170214,ADRA1B
ENSG00000171873,ADRA1D
ENSG00000150594,ADRA2A
ENSG00000274286,ADRA2B
ENSG00000184160,ADRA2C
ENSG00000043591,ADRB1
ENSG00000169252,ADRB2
ENSG00000188778,ADRB3
ENSG00000130706,ADRM1
ENSG00000239900,ADSL
ENSG00000035687,ADSS
ENSG00000185100,ADSSL1
ENSG00000111863,ADTRP
ENSG00000106624,AEBP1
ENSG00000139154,AEBP2
ENSG00000181026,AEN
ENSG00000104964,AES
ENSG00000196526,AFAP1
ENSG00000272620,AFAP1-AS1
ENSG00000157510,AFAP1L1
ENSG00000169129,AFAP1L2
ENSG00000130396,AFDN
ENSG00000172493,AFF1
ENSG00000155966,AFF2
ENSG00000223516,AFF2-IT1
ENSG00000144218,AFF3
ENSG00000072364,AFF4
ENSG00000135537,AFG1L
ENSG00000223959,AFG3L1P
ENSG00000141385,AFG3L2
ENSG00000253606,AFG3L2P1
ENSG00000079557,AFM
ENSG00000183077,AFMID
ENSG00000081051,AFP
ENSG00000119844,AFTPH
ENSG00000038002,AGA
ENSG00000157985,AGAP1
ENSG00000135439,AGAP2
ENSG00000255737,AGAP2-AS1
ENSG00000133612,AGAP3
ENSG00000188234,AGAP4
ENSG00000172650,AGAP5
ENSG00000204149,AGAP6
ENSG00000264204,AGAP7P
ENSG00000204172,AGAP9
ENSG00000273540,AGBL1
ENSG00000260125,AGBL1-AS1
ENSG00000165923,AGBL2
ENSG00000146856,AGBL3
ENSG00000186094,AGBL4
ENSG00000225623,AGBL4-IT1
ENSG00000084693,AGBL5
ENSG00000231636,AGBL5-AS1
ENSG00000229122,AGBL5-IT1
ENSG00000204305,AGER
ENSG00000173744,AGFG1
ENSG00000106351,AGFG2
ENSG00000164252,AGGF1
ENSG00000214273,AGGF1P1
ENSG00000233435,AGGF1P2
ENSG00000241532,AGGF1P3
ENSG00000261689,AGGF1P4
ENSG00000260680,AGGF1P5
ENSG00000259836,AGGF1P6
ENSG00000260994,AGGF1P7
ENSG00000261752,AGGF1P8
ENSG00000260427,AGGF1P9
ENSG00000006530,AGK
ENSG00000226555,AGKP1
ENSG00000162688,AGL
ENSG00000116771,AGMAT
ENSG00000187546,AGMO
ENSG00000092847,AGO1
ENSG00000123908,AGO2
ENSG00000126070,AGO3
ENSG00000134698,AGO4
ENSG00000204310,AGPAT1
ENSG00000169692,AGPAT2
ENSG00000160216,AGPAT3
ENSG00000026652,AGPAT4
ENSG00000155189,AGPAT5
ENSG00000234652,AGPAT5P1
ENSG00000018510,AGPS
ENSG00000106541,AGR2
ENSG00000173467,AGR3
ENSG00000188157,AGRN
ENSG00000159723,AGRP
ENSG00000135744,AGT
ENSG00000135049,AGTPBP1
ENSG00000144891,AGTR1
ENSG00000180772,AGTR2
ENSG00000177674,AGTRAP
ENSG00000172482,AGXT
ENSG00000113492,AGXT2
ENSG00000153207,AHCTF1
ENSG00000101444,AHCY
ENSG00000168710,AHCYL1
ENSG00000158467,AHCYL2
ENSG00000238181,AHCYP2
ENSG00000233955,AHCYP3
ENSG00000232992,AHCYP4
ENSG00000213107,AHCYP5
ENSG00000259465,AHCYP7
ENSG00000242529,AHCYP8
ENSG00000126705,AHDC1
ENSG00000135541,AHI1
ENSG00000124942,AHNAK
ENSG00000185567,AHNAK2
ENSG00000106546,AHR
ENSG00000063438,AHRR
ENSG00000100591,AHSA1
ENSG00000145192,AHSG
ENSG00000169877,AHSP
ENSG00000111732,AICDA
ENSG00000186063,AIDA
ENSG00000204472,AIF1
ENSG00000126878,AIF1L
ENSG00000156709,AIFM1
ENSG00000225509,AIFM1P1
ENSG00000042286,AIFM2
ENSG00000183773,AIFM3
ENSG00000146416,AIG1
ENSG00000249089,AIG1P1
ENSG00000163568,AIM2
ENSG00000164022,AIMP1
ENSG00000234187,AIMP1P1
ENSG00000227177,AIMP1P2
ENSG00000106305,AIMP2
ENSG00000110711,AIP
ENSG00000129221,AIPL1
ENSG00000160224,AIRE
ENSG00000268257,AIRN
ENSG00000196581,AJAP1
ENSG00000129474,AJUBA
ENSG00000106992,AK1
ENSG00000004455,AK2
ENSG00000242272,AK2P2
ENSG00000147853,AK3
ENSG00000250115,AK3P2
ENSG00000230042,AK3P3
ENSG00000248722,AK3P4
ENSG00000228816,AK3P5
ENSG00000162433,AK4
ENSG00000249410,AK4P2
ENSG00000233381,AK4P3
ENSG00000223621,AK4P4
ENSG00000217377,AK4P5
ENSG00000235606,AK4P6
ENSG00000154027,AK5
ENSG00000085231,AK6
ENSG00000256614,AK6P1
ENSG00000257173,AK6P2
ENSG00000140057,AK7
ENSG00000165695,AK8
ENSG00000155085,AK9
ENSG00000231824,AKAIN1
ENSG00000121057,AKAP1
ENSG00000111254,AKAP3
ENSG00000147081,AKAP4
ENSG00000179841,AKAP5
ENSG00000151320,AKAP6
ENSG00000118507,AKAP7
ENSG00000105127,AKAP8
ENSG00000011243,AKAP8L
ENSG00000234146,AKAP8P1
ENSG00000127914,AKAP9
ENSG00000166452,AKIP1
ENSG00000174574,AKIRIN1
ENSG00000257786,AKIRIN1P1
ENSG00000228125,AKIRIN1P2
ENSG00000135334,AKIRIN2
ENSG00000251482,AKIRIN2P1
ENSG00000106948,AKNA
ENSG00000162641,AKNAD1
ENSG00000117448,AKR1A1
ENSG00000085662,AKR1B1
ENSG00000229991,AKR1B1P1
ENSG00000213452,AKR1B1P2
ENSG00000213785,AKR1B1P3
ENSG00000237876,AKR1B1P4
ENSG00000266899,AKR1B1P7
ENSG00000231371,AKR1B1P8
ENSG00000187134,AKR1C1
ENSG00000151632,AKR1C2
ENSG00000196139,AKR1C3
ENSG00000198610,AKR1C4
ENSG00000225418,AKR1C5P
ENSG00000151631,AKR1C6P
ENSG00000215267,AKR1C7P
ENSG00000264006,AKR1C8P
ENSG00000122787,AKR1D1
ENSG00000227776,AKR1D1P1
ENSG00000165568,AKR1E2
ENSG00000053371,AKR7A2
ENSG00000229020,AKR7A2P1
ENSG00000162482,AKR7A3
ENSG00000211454,AKR7L
ENSG00000142208,AKT1
ENSG00000204673,AKT1S1
ENSG00000105221,AKT2
ENSG00000117020,AKT3
ENSG00000228939,AKT3-IT1
ENSG00000166971,AKTIP
ENSG00000148218,ALAD
ENSG00000023330,ALAS1
ENSG00000158578,ALAS2
ENSG00000163631,ALB
ENSG00000170017,ALCAM
ENSG00000165092,ALDH1A1
ENSG00000128918,ALDH1A2
ENSG00000184254,ALDH1A3
ENSG00000137124,ALDH1B1
ENSG00000144908,ALDH1L1
ENSG00000250218,ALDH1L1-AS1
ENSG00000246022,ALDH1L1-AS2
ENSG00000136010,ALDH1L2
ENSG00000111275,ALDH2
ENSG00000108602,ALDH3A1
ENSG00000072210,ALDH3A2
ENSG00000006534,ALDH3B1
ENSG00000132746,ALDH3B2
ENSG00000159423,ALDH4A1
ENSG00000112294,ALDH5A1
ENSG00000119711,ALDH6A1
ENSG00000164904,ALDH7A1
ENSG00000251400,ALDH7A1P1
ENSG00000232292,ALDH7A1P2
ENSG00000243853,ALDH7A1P3
ENSG00000234489,ALDH7A1P4
ENSG00000118514,ALDH8A1
ENSG00000143149,ALDH9A1
ENSG00000149925,ALDOA
ENSG00000242849,ALDOAP1
ENSG00000214297,ALDOAP2
ENSG00000136872,ALDOB
ENSG00000109107,ALDOC
ENSG00000033011,ALG1
ENSG00000189366,ALG1L
ENSG00000251287,ALG1L2
ENSG00000251087,ALG1L3P
ENSG00000226943,ALG1L5P
ENSG00000238278,ALG1L6P
ENSG00000251271,ALG1L7P
ENSG00000227620,ALG1L8P
ENSG00000248671,ALG1L9P
ENSG00000254978,ALG1L9P
ENSG00000119523,ALG2
ENSG00000214160,ALG3
ENSG00000251568,ALG3P1
ENSG00000120697,ALG5
ENSG00000088035,ALG6
ENSG00000159063,ALG8
ENSG00000086848,ALG9
ENSG00000254450,ALG9-IT1
ENSG00000171094,ALK
ENSG00000196711,ALKAL1
ENSG00000189292,ALKAL2
ENSG00000100601,ALKBH1
ENSG00000189046,ALKBH2
ENSG00000166199,ALKBH3
ENSG00000244926,ALKBH3-AS1
ENSG00000160993,ALKBH4
ENSG00000091542,ALKBH5
ENSG00000239382,ALKBH6
ENSG00000125652,ALKBH7
ENSG00000137760,ALKBH8
ENSG00000151360,ALLC
ENSG00000116127,ALMS1
ENSG00000230002,ALMS1-IT1
ENSG00000163016,ALMS1P1
ENSG00000012779,ALOX5
ENSG00000132965,ALOX5AP
ENSG00000179148,ALOXE3
ENSG00000163295,ALPI
ENSG00000073331,ALPK1
ENSG00000198796,ALPK2
ENSG00000136383,ALPK3
ENSG00000162551,ALPL
ENSG00000163283,ALPP
ENSG00000163286,ALPPL2
ENSG00000003393,ALS2
ENSG00000178038,ALS2CL
ENSG00000155749,ALS2CR12
ENSG00000180318,ALX1
ENSG00000156150,ALX3
ENSG00000052850,ALX4
ENSG00000183684,ALYREF
ENSG00000242110,AMACR
ENSG00000178522,AMBN
ENSG00000106927,AMBP
ENSG00000110497,AMBRA1
ENSG00000123505,AMD1
ENSG00000228339,AMD1P1
ENSG00000237801,AMD1P2
ENSG00000249286,AMD1P3
ENSG00000215124,AMD1P4
ENSG00000139344,AMDHD1
ENSG00000162066,AMDHD2
ENSG00000125363,AMELX
ENSG00000099721,AMELY
ENSG00000184675,AMER1
ENSG00000165566,AMER2
ENSG00000178171,AMER3
ENSG00000159461,AMFR
ENSG00000104899,AMH
ENSG00000135409,AMHR2
ENSG00000181754,AMIGO1
ENSG00000139211,AMIGO2
ENSG00000176020,AMIGO3
ENSG00000101935,AMMECR1
ENSG00000224142,AMMECR1-IT1
ENSG00000144233,AMMECR1L
ENSG00000233273,AMMECR1LP1
ENSG00000166126,AMN
ENSG00000151743,AMN1
ENSG00000126016,AMOT
ENSG00000166025,AMOTL1
ENSG00000114019,AMOTL2
ENSG00000116748,AMPD1
ENSG00000116337,AMPD2
ENSG00000133805,AMPD3
ENSG00000078053,AMPH
ENSG00000145020,AMT
ENSG00000187689,AMTN
ENSG00000237763,AMY1A
ENSG00000174876,AMY1B
ENSG00000187733,AMY1C
ENSG00000243480,AMY2A
ENSG00000240038,AMY2B
ENSG00000227408,AMYP1
ENSG00000174945,AMZ1
ENSG00000196704,AMZ2
ENSG00000214174,AMZ2P1
ENSG00000219249,AMZ2P2
ENSG00000153107,ANAPC1
ENSG00000233673,ANAPC1P1
ENSG00000176248,ANAPC2
ENSG00000053900,ANAPC4
ENSG00000089053,ANAPC5
ENSG00000196510,ANAPC7
ENSG00000214274,ANG
ENSG00000013523,ANGEL1
ENSG00000174606,ANGEL2
ENSG00000154188,ANGPT1
ENSG00000091879,ANGPT2
ENSG00000101280,ANGPT4
ENSG00000116194,ANGPTL1
ENSG00000136859,ANGPTL2
ENSG00000132855,ANGPTL3
ENSG00000167772,ANGPTL4
ENSG00000187151,ANGPTL5
ENSG00000130812,ANGPTL6
ENSG00000171819,ANGPTL7
ENSG00000130173,ANGPTL8
ENSG00000227059,ANHX
ENSG00000029534,ANK1
ENSG00000145362,ANK2
ENSG00000151150,ANK3
ENSG00000151687,ANKAR
ENSG00000166839,ANKDD1A
ENSG00000189045,ANKDD1B
ENSG00000132623,ANKEF1
ENSG00000153930,ANKFN1
ENSG00000185722,ANKFY1
ENSG00000154122,ANKH
ENSG00000131503,ANKHD1
ENSG00000254996,ANKHD1-EIF4EBP3
ENSG00000001629,ANKIB1
ENSG00000170209,ANKK1
ENSG00000160117,ANKLE1
ENSG00000176915,ANKLE2
ENSG00000144504,ANKMY1
ENSG00000106524,ANKMY2
ENSG00000164331,ANKRA2
ENSG00000148677,ANKRD1
ENSG00000165887,ANKRD2
ENSG00000135299,ANKRD6
ENSG00000106013,ANKRD7
ENSG00000156381,ANKRD9
ENSG00000064999,ANKS1A
ENSG00000185046,ANKS1B
ENSG00000168096,ANKS3
ENSG00000175311,ANKS4B
ENSG00000165138,ANKS6
ENSG00000206199,ANKUB1
ENSG00000163516,ANKZF1
ENSG00000011426,ANLN
ENSG00000131620,ANO1
ENSG00000047617,ANO2
ENSG00000134343,ANO3
ENSG00000151572,ANO4
ENSG00000171714,ANO5
ENSG00000177119,ANO6
ENSG00000146205,ANO7
ENSG00000237276,ANO7L1
ENSG00000074855,ANO8
ENSG00000185101,ANO9
ENSG00000011201,ANOS1
ENSG00000241859,ANOS2P
ENSG00000140350,ANP32A
ENSG00000259516,ANP32AP1
ENSG00000136938,ANP32B
ENSG00000259790,ANP32BP1
ENSG00000231801,ANP32BP2
ENSG00000259461,ANP32BP3
ENSG00000248546,ANP32C
ENSG00000139223,ANP32D
ENSG00000143401,ANP32E
ENSG00000166825,ANPEP
ENSG00000169604,ANTXR1
ENSG00000163297,ANTXR2
ENSG00000274209,ANTXRL
ENSG00000263482,ANTXRLP1
ENSG00000135046,ANXA1
ENSG00000182718,ANXA2
ENSG00000213406,ANXA2P1
ENSG00000231991,ANXA2P2
ENSG00000216740,ANXA2P3
ENSG00000177721,ANXA2R
ENSG00000138772,ANXA3
ENSG00000196975,ANXA4
ENSG00000164111,ANXA5
ENSG00000197043,ANXA6
ENSG00000138279,ANXA7
ENSG00000265190,ANXA8
ENSG00000264230,ANXA8L1
ENSG00000143412,ANXA9
ENSG00000136250,AOAH
ENSG00000230539,AOAH-IT1
ENSG00000002726,AOC1
ENSG00000131480,AOC2
ENSG00000131471,AOC3
ENSG00000260105,AOC4P
ENSG00000138356,AOX1
ENSG00000243478,AOX2P
ENSG00000244301,AOX3P
ENSG00000138660,AP1AR
ENSG00000100280,AP1B1
ENSG00000234479,AP1B1P1
ENSG00000232707,AP1B1P2
ENSG00000166747,AP1G1
ENSG00000213983,AP1G2
ENSG00000072958,AP1M1
ENSG00000129354,AP1M2
ENSG00000106367,AP1S1
ENSG00000182287,AP1S2
ENSG00000226046,AP1S2P1
ENSG00000152056,AP1S3
ENSG00000196961,AP2A1
ENSG00000183020,AP2A2
ENSG00000006125,AP2B1
ENSG00000161203,AP2M1
ENSG00000042753,AP2S1
ENSG00000132842,AP3B1
ENSG00000103723,AP3B2
ENSG00000065000,AP3D1
ENSG00000185009,AP3M1
ENSG00000070718,AP3M2
ENSG00000177879,AP3S1
ENSG00000157823,AP3S2
ENSG00000134262,AP4B1
ENSG00000226167,AP4B1-AS1
ENSG00000081014,AP4E1
ENSG00000221838,AP4M1
ENSG00000100478,AP4S1
ENSG00000254470,AP5B1
ENSG00000053770,AP5M1
ENSG00000125843,AP5S1
ENSG00000242802,AP5Z1
ENSG00000120868,APAF1
ENSG00000107282,APBA1
ENSG00000034053,APBA2
ENSG00000011132,APBA3
ENSG00000166313,APBB1
ENSG00000077420,APBB1IP
ENSG00000163697,APBB2
ENSG00000113108,APBB3
ENSG00000134982,APC
ENSG00000115266,APC2
ENSG00000154856,APCDD1
ENSG00000198768,APCDD1L
ENSG00000132703,APCS
ENSG00000164062,APEH
ENSG00000248329,APELA
ENSG00000100823,APEX1
ENSG00000169188,APEX2
ENSG00000117362,APH1A
